date,vo2_est
2021-08-01,39.85
2021-09-08,39.85
2021-11-15,42.77
2021-12-10,42.94
2022-01-29,46.05
2022-01-31,41.72
2022-02-08,41.72
2022-02-10,41.74
2022-02-28,42.2
2022-03-03,40.18
2022-03-15,40.26
2022-04-01,40
2022-04-03,40.76
2022-04-10,40.25
2022-04-14,40.32
2022-04-26,40.29
2022-04-26,40.05
2022-04-29,40.06
2022-05-10,40.57
2022-05-18,40.64
2022-05-21,39.71
2022-05-27,39.98
2022-05-29,39.31
2022-05-31,39.1
2022-06-05,40.57
2022-06-05,40.42
2022-06-09,40.14
2022-06-12,40.04
2022-06-21,39.12
2022-06-29,40.04
2022-07-17,39.66
2022-07-27,39.48
2022-07-30,39.69
2022-08-07,38.95
2022-08-19,38.76
2022-08-21,38.75
2022-08-21,39.33
2022-08-25,40.52
2022-08-30,40.67
2022-09-15,40.59
2022-09-25,41.14
2022-09-29,42.24
2022-10-21,42.2
2022-10-28,41.81
2022-10-31,41.47
2022-11-27,41.4
2023-01-09,43.52
2023-01-15,42.26
2023-02-13,42.74
2023-02-27,42.76
2023-02-27,44.86
2023-03-23,41.39
2023-03-30,47.51
2023-04-13,47.47
2023-04-21,47.8
2023-05-02,47.11
2023-05-04,47.23
2023-05-09,45.45
2023-06-09,46.58
2023-06-09,45.61
2023-06-21,44.13
2023-07-02,42.21
2023-07-07,41.49
2023-07-17,41.48
2023-07-20,40.95
2023-07-22,40.22
2023-08-01,40.88
2023-08-19,40.93
2023-08-19,41.02
2023-08-27,40.89
2023-09-06,41.09
2023-09-13,40.97
2023-09-17,41.64
2023-09-19,41.78
2023-09-22,42.08
2023-09-28,42.07
2023-09-30,42.34
2023-10-04,42.39
2023-10-05,42.43
2023-10-05,42.54
2023-10-08,42.43
2023-10-10,43.61
2023-10-13,43.82
2023-10-16,43.8
2023-10-18,44.46
2023-10-18,44.44
2023-10-19,44.24
2023-10-20,44.04
2023-10-23,44.23
2023-11-01,44.22
2023-11-02,44.01
2023-11-04,44.37
2023-11-06,43.75
2023-11-10,44.08
2023-11-13,44.23
2023-11-16,44.16
2023-11-18,44.29
2023-12-05,43.79
2023-12-14,43.78
2023-12-17,44.04
2024-01-28,43.71
2024-02-03,43.74
2024-02-08,43.22
2024-02-11,43.34
2024-02-22,43.53
2024-02-25,43.04
2024-03-02,42.98
2024-03-02,42.96
2024-03-10,43.33
2024-03-15,43.72
2024-03-19,43.72
2024-03-27,43.85
2024-03-30,43.8
2024-03-30,44.15
2024-04-12,43.69
2024-04-25,43.81
2024-04-25,43.78
2024-04-27,43.57
2024-05-03,43.6
2024-05-05,43.39
2024-05-11,43.63
2024-05-28,43.68
2024-06-03,44.23
2024-06-04,44.02
2024-06-07,44.03
2024-06-07,43.86
2024-06-08,43.94
2024-06-08,43.9
2024-06-09,44.12
2024-06-11,44.6
2024-06-12,44.93
2024-06-13,45.16
2024-06-14,45.53
2024-06-17,45.48
2024-06-18,45.56
2024-06-19,45.71
2024-06-21,46.09
2024-06-22,46.43
2024-06-24,46.51
2024-06-25,46
2024-06-25,45.73
2024-06-26,45.52
2024-06-27,45.47
2024-06-29,45.3
2024-06-29,45.4
2024-06-30,45.45
2024-07-01,45.59
2024-07-03,45.72
2024-07-05,45.7
2024-07-07,45.77
2024-07-08,45.88
2024-07-10,45.88
2024-07-11,45.72
2024-07-13,45.64
2024-07-13,45.41
2024-07-13,45.47
2024-07-14,45.48
2024-07-19,45.12
2024-07-21,45.1
2024-07-22,45.08
2024-07-25,45.93
2024-07-26,46.17
2024-07-28,46.28
2024-07-30,46.02
2024-07-30,45.94
2024-07-31,45.47
2024-08-02,45.13
2024-08-02,45.07
2024-08-03,45.21
2024-08-04,45.26
2024-08-05,45.25
2024-08-06,45.33
2024-08-09,45.44
2024-08-12,45.96
2024-08-16,46.24
2024-08-19,46.07
2024-08-20,46.22
2024-08-20,46.17
2024-08-22,46.19
2024-08-23,46.22
2024-08-25,46.33
2024-08-27,46.17
2024-09-05,47.33
2024-09-06,46.7
2024-09-07,46.19
2024-09-09,46.03
2024-09-13,45.7
2024-09-16,45.69
2024-09-16,45.61
2024-09-22,45.55
2024-09-25,45.35
2024-09-27,44.98
2024-09-29,45.14
2024-10-02,45.17
2024-10-04,44.66
2024-10-04,44.67
2024-10-06,45.44
2024-10-09,44.97
2024-10-11,44.99
2024-10-18,44.97
2024-10-21,44.94
2024-10-22,45.16
2024-10-24,45.12
2024-10-27,45.28
2024-11-03,44.79
2024-11-03,44.63
2024-11-06,45.15
2024-11-08,45.67
2024-11-10,45.15
2024-11-15,45.29
2024-12-17,45.02
2024-12-20,44.9
2024-12-29,44.78
2025-01-01,44.94
2025-01-26,45.31
2025-02-02,46
2025-02-25,45.55
2025-03-01,45.39
2025-03-07,45.5
2025-03-11,46.04
2025-03-12,46.08
2025-03-14,45.93
2025-03-16,46.02
2025-03-21,46.01
2025-03-30,45.9
2025-04-01,44.99
2025-04-08,45.94
2025-04-09,46.81
2025-04-10,46.98
2025-04-14,46.77
2025-04-16,47.36
2025-04-16,47.42